,Adjective,Adj_Type,Count,PP,NMod,Bare_in_PP_Sing,Bare_in_PP_Pl,Bare_in_NP_Sing,Bare_in_NP_Pl,PP_in_NP,PP_in_VP,PP_in_AP,PP_Percent,Prep_Entropies,HW_Entropies,PP_HW_Entropies
64,linguistic,Relational,2582,1397,0.021688613477924088,0.42233357193987114,0.2963493199713672,0.3597986057319907,0.2714949651432998,0.6492483894058697,0.2655690765926986,0.04581245526127416,0.5410534469403563,1.2623231965760466,5.226161816922717,5.745434418432897
65,judicial,Relational,2490,1302,0.03253012048192771,0.5837173579109063,0.1313364055299539,0.5004016064257029,0.15100401606425704,0.598310291858679,0.2880184331797235,0.07757296466973887,0.5228915662650603,1.4210574101776134,3.7385587575167536,5.3844366287114465
66,victorian,Relational,2330,1168,0.08197424892703863,0.2945205479452055,0.2705479452054795,0.31716738197424893,0.2223175965665236,0.5205479452054794,0.3570205479452055,0.05051369863013699,0.5012875536480687,1.3239717845798185,5.330081921800447,6.055854792513708
67,imperial,Relational,2339,1204,0.10004275331338179,0.36710963455149503,0.1420265780730897,0.36938862761864044,0.13125267208208635,0.584717607973422,0.3430232558139535,0.029900332225913623,0.5147498931167166,1.5550655237452053,5.342040232519208,6.1776746066899255
68,australian,Relational,2367,934,0.0904098014364174,0.30728051391862954,0.18629550321199143,0.3523447401774398,0.16518800168990283,0.5802997858672377,0.33940042826552463,0.02462526766595289,0.3945923109421208,2.082847136876495,5.601504350339797,5.964743069329083
69,revolutionary,Relational,2378,1116,0.02691337258200168,0.3897849462365591,0.1496415770609319,0.33767872161480234,0.13624894869638352,0.5940860215053764,0.31362007168458783,0.03046594982078853,0.4693019343986543,1.3936392562149948,5.29937218391998,5.9462784160794335
70,historic,Relational,2265,1037,0.0631346578366446,0.2719382835101254,0.32883317261330763,0.2922737306843267,0.28300220750551874,0.5303760848601736,0.343297974927676,0.03953712632594021,0.4578366445916115,1.5758832009654606,5.076243995749631,5.737071510065437
71,electrical,Relational,2274,836,0.10642040457343888,0.36483253588516745,0.32177033492822965,0.37467018469656993,0.28100263852242746,0.5873205741626795,0.33133971291866027,0.03110047846889952,0.3676341248900616,1.5309646389041203,4.584367687182201,5.581388978638255
72,spiritual,Relational,2290,905,0.024890829694323144,0.4552486187845304,0.1569060773480663,0.3812227074235808,0.12096069868995633,0.5392265193370166,0.3624309392265193,0.05414364640883978,0.3951965065502183,1.4349826778422234,5.258176661624599,5.640656162355279
73,presidential,Relational,2149,1082,0.07166123778501629,0.31608133086876156,0.22920517560073936,0.34713820381572824,0.24383434155421127,0.5517560073937153,0.3826247689463956,0.011090573012939002,0.5034899953466728,1.641086700540232,3.3222040794256857,5.452331919950838
74,gastric,Relational,1569,838,0.12810707456978968,0.6121718377088305,0.21121718377088305,0.6086679413639261,0.17718291905672404,0.7756563245823389,0.18138424821002386,0.021479713603818614,0.5340981516889739,1.5691877645960934,3.9584459021412703,5.115060115439333
75,statistical,Relational,2103,775,0.0461245839277223,0.36,0.3109677419354839,0.3961008083689967,0.2524964336661912,0.5096774193548387,0.3896774193548387,0.04645161290322581,0.36852116024726583,1.472267053750449,4.569241882139409,5.180692210976675
76,diplomatic,Relational,1964,780,0.012219959266802444,0.2653846153846154,0.4076923076923077,0.23523421588594703,0.4414460285132383,0.5756410256410256,0.308974358974359,0.03974358974358974,0.3971486761710794,1.3418261838925896,4.126622253285294,5.082810469201277
77,illegal,Relational,2379,703,0.013451029844472467,0.352773826458037,0.3442389758179232,0.2211013030685162,0.24548129466162252,0.5576102418207681,0.37980085348506404,0.02844950213371266,0.29550231189575454,1.5581192273747164,4.82164539617232,5.506068193003267
78,institutional,Relational,1971,896,0.040081177067478435,0.38169642857142855,0.28683035714285715,0.3424657534246575,0.273972602739726,0.5301339285714286,0.35825892857142855,0.044642857142857144,0.4545915778792491,1.7513341620186476,4.766622613183895,5.59872203775468
79,biological,Relational,1960,865,0.05357142857142857,0.34335260115606936,0.3630057803468208,0.3107142857142857,0.3137755102040816,0.5872832369942197,0.2971098265895954,0.056647398843930635,0.4413265306122449,1.499920755545129,5.164217930790501,5.640557488743858
80,mechanical,Relational,1991,855,0.03214465092918132,0.34035087719298246,0.28771929824561404,0.3329984932194877,0.23304871923656453,0.512280701754386,0.3707602339181287,0.047953216374269005,0.4294324460070316,1.5349962119143588,5.011193920686537,5.55859453729631
81,asian,Relational,1741,784,0.06892590465249857,0.21173469387755103,0.4885204081632653,0.21941412981045377,0.37794371051120046,0.6696428571428571,0.24107142857142858,0.042091836734693876,0.45031591039632396,1.810256074165921,4.854315131798587,5.742002073431911
